Country	Mean Rating	Standard Deviation	Number of Movies	High Score Ratio	Composite Score
Gallifrey	8.90	0.16	3	100.00%	25.80
南斯拉夫联邦共和国	9.10	0.00	1	100.00%	25.78
冰島 Iceland	8.90	0.00	1	100.00%	25.70
Guinea	8.90	0.00	1	100.00%	25.70
塞尔维亚和黑山	8.70	0.00	1	100.00%	25.62
东德	8.55	0.25	2	100.00%	25.59
乌兹别克斯坦	8.50	0.00	1	100.00%	25.54
沙特阿拉伯	8.30	0.00	1	100.00%	25.46
丹麥 Denmark	8.30	0.00	1	100.00%	25.46
尼日尔	8.20	0.00	1	100.00%	25.42
1958-06-29	8.20	0.00	1	100.00%	25.42
USA	7.75	1.38	4	75.00%	20.15
苏联	8.08	0.61	38	71.05%	20.05
捷克斯洛伐克	8.09	0.43	19	63.16%	18.38
塞浦路斯	7.43	1.09	3	66.67%	18.37
Georgia	7.95	0.15	2	50.00%	15.37
East Germany	7.50	0.50	2	50.00%	15.12
蒙古	7.55	0.75	2	50.00%	15.09
Cuba	6.55	1.45	2	50.00%	14.55
南斯拉夫	7.66	0.85	21	42.86%	14.09
塔吉克斯坦	7.57	0.82	3	33.33%	11.81
约旦	7.40	0.78	3	33.33%	11.75
阿尔及利亚	7.37	0.90	3	33.33%	11.71
拉脱维亚	7.10	1.13	3	33.33%	11.56
阿联酋	6.73	1.46	9	33.33%	11.53
伊朗	7.58	0.68	76	27.63%	11.29
西德	7.19	1.02	112	25.00%	10.62
土耳其	7.40	0.60	24	25.00%	10.49
英国	7.10	1.17	2231	21.34%	10.42
日本	6.99	1.14	3932	20.47%	10.32
希腊	7.44	0.94	25	24.00%	10.24
波兰	7.41	0.77	62	22.58%	10.16
原西德	7.63	0.52	9	22.22%	9.85
芬兰	7.34	0.85	42	21.43%	9.81
匈牙利	7.05	1.03	51	21.57%	9.72
列支敦士登	6.45	1.06	4	25.00%	9.69
冰岛	6.98	0.98	18	22.22%	9.63
乌拉圭	7.18	0.79	9	22.22%	9.62
斯洛伐克	7.08	0.86	9	22.22%	9.56
瑞典	7.07	1.03	220	19.09%	9.52
越南	6.66	1.66	13	23.08%	9.48
意大利	7.10	0.97	913	17.31%	9.47
Lithuania	6.00	1.51	4	25.00%	9.42
法国	7.09	0.87	2688	15.85%	9.41
哈萨克斯坦	7.28	0.55	10	20.00%	9.28
奥地利	7.24	0.77	83	18.07%	9.25
捷克	7.17	0.96	48	18.75%	9.21
马其顿	7.38	0.69	5	20.00%	9.17
阿尔巴尼亚	7.42	0.79	5	20.00%	9.17
瑞士	7.13	0.88	138	15.94%	8.85
秘鲁	6.78	1.28	5	20.00%	8.81
丹麦	7.09	0.91	161	15.53%	8.78
荷兰	7.20	0.77	98	15.31%	8.70
挪威	7.18	0.80	50	16.00%	8.70
德国	6.93	0.99	1298	13.33%	8.67
保加利亚	6.90	0.99	17	17.65%	8.67
波黑	7.38	0.77	6	16.67%	8.52
美国	6.55	1.30	8136	11.39%	8.44
以色列	7.19	0.67	48	14.58%	8.44
爱尔兰	6.96	1.02	134	14.18%	8.40
印度	6.81	1.05	385	13.25%	8.36
比利时	6.97	0.92	261	13.03%	8.32
墨西哥	6.84	1.07	76	14.47%	8.29
爱沙尼亚	6.57	1.22	6	16.67%	8.11
俄罗斯	6.90	0.97	233	11.59%	7.98
摩洛哥	6.91	1.21	14	14.29%	7.92
塞尔维亚	6.74	1.02	14	14.29%	7.89
菲律宾	6.61	1.02	14	14.29%	7.84
古巴	7.45	0.43	8	12.50%	7.83
西班牙	6.78	0.95	552	9.78%	7.74
卢森堡	6.83	1.00	52	11.54%	7.63
乌克兰	7.11	0.82	17	11.76%	7.61
中国台湾	6.56	1.13	648	9.10%	7.51
智利	6.92	0.91	18	11.11%	7.40
阿根廷	7.03	0.93	86	9.30%	7.38
斯洛文尼亚	7.04	0.82	9	11.11%	7.34
加拿大	6.36	1.24	789	8.49%	7.33
黎巴嫩	7.36	0.76	10	10.00%	7.27
葡萄牙	6.90	0.79	54	9.26%	7.25
南非	6.15	1.34	46	10.87%	7.14
巴西	6.90	0.89	113	7.96%	7.12
澳大利亚	6.56	1.12	312	7.37%	7.03
中国大陆	5.78	1.68	3486	6.74%	6.96
中国香港	6.38	1.07	2308	5.16%	6.92
突尼斯	7.17	0.66	12	8.33%	6.91
哥伦比亚	6.97	0.64	12	8.33%	6.84
印度 India	6.46	0.95	35	8.57%	6.82
新西兰	6.38	1.27	22	9.09%	6.74
罗马尼亚	6.54	1.30	51	7.84%	6.71
克罗地亚	7.12	0.50	15	6.67%	6.64
韩国	6.19	1.23	1271	4.09%	6.48
卡塔尔	7.18	0.57	18	5.56%	6.46
泰国	6.00	1.17	269	2.97%	5.88
加拿大 Canada	5.38	1.34	22	4.55%	5.42
印度India	7.75	0.05	2	0.00%	5.31
丹麦 Danmark	7.90	0.00	1	0.00%	5.30
前苏联	7.90	0.00	1	0.00%	5.30
喀麦隆	7.65	0.05	2	0.00%	5.27
捷克共和国	7.80	0.00	1	0.00%	5.26
法國	7.80	0.00	1	0.00%	5.26
Latvia	7.80	0.00	1	0.00%	5.26
Afghanistan	7.80	0.00	1	0.00%	5.26
Jamaica	7.80	0.00	1	0.00%	5.26
马提尼克	7.80	0.00	1	0.00%	5.26
格鲁吉亚	7.27	0.28	6	0.00%	5.24
马恩岛	7.70	0.00	1	0.00%	5.22
巴勒斯坦被占领区	7.70	0.00	1	0.00%	5.22
Morocco	7.70	0.00	1	0.00%	5.22
阿富汗	7.34	0.43	5	0.00%	5.21
亚美尼亚	7.45	0.05	2	0.00%	5.19
阿塞拜疆	7.60	0.00	1	0.00%	5.18
马其顿共和国	7.60	0.00	1	0.00%	5.18
利比亚	7.60	0.00	1	0.00%	5.18
巴拉圭	7.55	0.35	2	0.00%	5.17
白俄罗斯	7.45	0.15	2	0.00%	5.17
巴勒斯坦	7.50	0.00	1	0.00%	5.14
Cambodia	7.50	0.00	1	0.00%	5.14
捷克 Czech Republic	7.50	0.00	1	0.00%	5.14
巴哈马 Bahamas	7.50	0.00	1	0.00%	5.14
阿鲁巴岛	7.50	0.00	1	0.00%	5.14
英国BBC	7.50	0.00	1	0.00%	5.14
Senegal	7.50	0.00	1	0.00%	5.14
伊拉克	7.30	0.29	3	0.00%	5.14
马里	7.17	0.12	3	0.00%	5.12
埃及	7.45	0.45	2	0.00%	5.11
不丹	7.40	0.00	1	0.00%	5.10
Sri Lanka	7.40	0.00	1	0.00%	5.10
Algeria	7.40	0.00	1	0.00%	5.10
布基纳法索	7.23	0.41	3	0.00%	5.09
摩纳哥	7.20	0.10	2	0.00%	5.08
Chile	7.30	0.00	1	0.00%	5.06
Malaysia	7.30	0.00	1	0.00%	5.06
Cyprus	7.30	0.00	1	0.00%	5.06
Panama	7.30	0.00	1	0.00%	5.06
俄羅斯	7.25	0.45	2	0.00%	5.03
毛里塔尼亚	7.00	0.00	2	0.00%	5.02
奧地利	7.20	0.00	1	0.00%	5.02
Slovenia	7.20	0.00	1	0.00%	5.02
UK	7.20	0.00	1	0.00%	5.02
爱尔兰 Ireland	7.07	0.69	4	0.00%	5.01
新加坡	6.37	1.17	27	0.00%	4.98
俄罗斯 Russian	7.10	0.00	1	0.00%	4.98
塞尔维亚和孟的内哥	7.10	0.00	1	0.00%	4.98
毛利塔尼亚	7.10	0.00	1	0.00%	4.98
塞内加尔	6.90	0.60	4	0.00%	4.96
印度 india	6.68	0.41	5	0.00%	4.95
印度尼西亚	6.78	0.77	6	0.00%	4.95
Slovakia	7.10	0.60	2	0.00%	4.94
科索沃	7.00	0.00	1	0.00%	4.94
巴布亚新几内亚	7.00	0.00	1	0.00%	4.94
Netherlands	7.00	0.00	1	0.00%	4.94
Palestine	7.00	0.00	1	0.00%	4.94
Croatia	7.00	0.00	1	0.00%	4.94
Bosnia and Herzegovina	7.00	0.00	1	0.00%	4.94
Paraguay	7.00	0.00	1	0.00%	4.94
波多黎各	6.53	0.41	6	0.00%	4.92
洪都拉斯	6.90	0.00	1	0.00%	4.90
西班牙 SPain	6.90	0.00	1	0.00%	4.90
Canada	6.90	0.00	1	0.00%	4.90
中国	6.26	1.13	21	0.00%	4.90
老挝	6.74	0.89	5	0.00%	4.88
立陶宛	6.32	0.95	13	0.00%	4.86
危地马拉	6.80	0.00	1	0.00%	4.86
斯诺文尼亚	6.80	0.00	1	0.00%	4.86
荷兰 Netherlands	6.80	0.00	1	0.00%	4.86
八一电影制片厂	6.80	0.00	1	0.00%	4.86
Albania	6.70	0.00	1	0.00%	4.82
Tunisia	6.60	0.30	2	0.00%	4.80
Luxembourg	6.31	1.23	12	0.00%	4.79
吉尔吉斯斯坦	6.65	0.45	2	0.00%	4.79
叙利亚	6.60	0.00	1	0.00%	4.78
Zimbabwe	6.60	0.00	1	0.00%	4.78
柬埔寨	6.45	0.70	4	0.00%	4.76
波兰 Poland	6.35	0.05	2	0.00%	4.75
Puerto Rico	6.70	0.80	2	0.00%	4.74
葡萄牙 Portugal	6.50	0.00	1	0.00%	4.74
俄罗斯 Russia	6.29	1.08	8	0.00%	4.74
缅甸	6.22	0.44	4	0.00%	4.72
肯尼亚	6.40	0.00	1	0.00%	4.70
索马里	6.40	0.00	1	0.00%	4.70
苏丹	6.40	0.00	1	0.00%	4.70
比利时 Belgium	6.40	0.00	1	0.00%	4.70
德國	6.40	0.00	1	0.00%	4.70
Malta	6.40	0.00	1	0.00%	4.70
科特迪瓦	6.40	0.00	1	0.00%	4.70
巴拿马	6.30	0.00	1	0.00%	4.66
瓦努阿图	6.30	0.00	1	0.00%	4.66
罗马利亚	6.30	0.00	1	0.00%	4.66
俄罗斯 Ru	6.30	0.00	1	0.00%	4.66
玻利维亚	6.30	0.00	1	0.00%	4.66
Federal Republic of Yugoslavia	6.30	0.00	1	0.00%	4.66
印尼	6.35	0.55	2	0.00%	4.65
中国澳门	6.10	0.10	2	0.00%	4.64
印度  Indian	6.20	0.00	1	0.00%	4.62
Zambia	6.20	0.00	1	0.00%	4.62
马来西亚	5.65	1.18	17	0.00%	4.60
澳大利亚 Australia	6.08	0.77	4	0.00%	4.60
瑞典 Sweden	6.10	0.00	1	0.00%	4.58
Colombia	6.00	0.40	2	0.00%	4.54
委内瑞拉	6.35	1.81	4	0.00%	4.50
法國 France	5.90	0.00	1	0.00%	4.50
多米尼加	5.70	0.00	1	0.00%	4.42
加纳	5.70	0.00	1	0.00%	4.42
巴西 Brazil	5.87	1.17	3	0.00%	4.39
Aruba	5.60	0.00	1	0.00%	4.38
丹麦 Denmark	6.05	1.55	2	0.00%	4.33
埃塞俄比亚	5.40	0.00	1	0.00%	4.30
_Inc.	5.40	0.00	1	0.00%	4.30
HOME.html	5.40	0.00	1	0.00%	4.30
Bulgaria	5.40	1.12	5	0.00%	4.29
马耳他	5.30	0.00	1	0.00%	4.26
阿鲁巴	5.30	0.00	1	0.00%	4.26
印度 Indian	5.30	0.70	2	0.00%	4.20
阿根廷 Argentina	5.05	0.25	2	0.00%	4.19
朝鲜	5.40	1.28	3	0.00%	4.18
Dominican Republic	5.00	0.00	1	0.00%	4.14
瑞士 Switzerland	5.03	0.90	3	0.00%	4.11
加拿大Canada	4.80	0.00	1	0.00%	4.06
墨西哥 Mexico	4.70	0.00	1	0.00%	4.02
香港	4.70	0.00	1	0.00%	4.02
Estonia	4.50	0.00	1	0.00%	3.94
芬兰 Finland	4.43	0.68	3	0.00%	3.91
美国 USA（NBC电视网）	4.30	0.00	1	0.00%	3.86
United Arab Emirates	4.10	0.00	1	0.00%	3.78
留尼汪	3.80	0.00	1	0.00%	3.66
Honduras	3.80	0.00	1	0.00%	3.66
