Country	Mean Rating	Standard Deviation	Number of Movies
中国澳门	6.10	0.10	2
瑞典 Sweden	6.10	0.00	1
澳大利亚 Australia	6.08	0.77	4
丹麦 Denmark	6.05	1.55	2
Lithuania	6.00	1.51	4
Colombia	6.00	0.40	2
泰国	6.00	1.17	269
法國 France	5.90	0.00	1
巴西 Brazil	5.87	1.17	3
中国大陆	5.78	1.68	3486
多米尼加	5.70	0.00	1
加纳	5.70	0.00	1
马来西亚	5.65	1.18	17
Aruba	5.60	0.00	1
埃塞俄比亚	5.40	0.00	1
_Inc.	5.40	0.00	1
HOME.html	5.40	0.00	1
Bulgaria	5.40	1.12	5
朝鲜	5.40	1.28	3
加拿大 Canada	5.38	1.34	22
马耳他	5.30	0.00	1
印度 Indian	5.30	0.70	2
阿鲁巴	5.30	0.00	1
阿根廷 Argentina	5.05	0.25	2
瑞士 Switzerland	5.03	0.90	3
Dominican Republic	5.00	0.00	1
加拿大Canada	4.80	0.00	1
墨西哥 Mexico	4.70	0.00	1
香港	4.70	0.00	1
Estonia	4.50	0.00	1
芬兰 Finland	4.43	0.68	3
美国 USA（NBC电视网）	4.30	0.00	1
United Arab Emirates	4.10	0.00	1
留尼汪	3.80	0.00	1
Honduras	3.80	0.00	1
