Genre	1 Star	2 Stars	3 Stars	4 Stars	5 Stars
动画	97	132	195	221	253
爱情	194	283	957	781	339
剧情	421	819	2424	2321	949
喜剧	170	368	1011	720	254
家庭	22	27	109	79	46
动作	146	318	834	655	269
科幻	58	168	300	221	120
犯罪	101	270	547	389	191
战争	16	69	267	161	45
冒险	35	72	232	334	114
同性	5	8	23	13	10
悬疑	162	377	618	331	101
历史	11	27	175	249	92
恐怖	83	202	400	200	58
情色	36	36	98	104	45
惊悚	193	367	614	314	85
奇幻	88	155	199	202	70
灾难	13	41	57	24	1
武侠	3	4	43	109	83
歌舞	5	21	97	126	101
运动	83	21	138	129	51
音乐	4	13	55	78	69
古装	1	0	14	48	39
传记	1	19	56	19	9
儿童	0	1	6	2	1
Adult	1	1	4	1	4
